"
Autonomous communities",Gender,Measurements and percentiles,Year,Total
Madrid,Men,Average,2015,"29.314,09"
Madrid,Men,Average,2014,"29.734,23"
Madrid,Men,Average,2013,"29.224,30"
Madrid,Men,Average,2012,"29.116,20"
Madrid,Men,Average,2011,"28.896,67"
Madrid,Men,Average,2010,"29.016,28"
Madrid,Men,Average,2009,"29.333,06"
Madrid,Men,Average,2008,"28.228,42"
Madrid,Men,Median,2021,"26.497,78"
Madrid,Men,Median,2020,"25.381,84"
Madrid,Men,Median,2019,"24.408,73"
Madrid,Men,Median,2018,"23.682,67"
Madrid,Men,Median,2017,"23.704,00"
Madrid,Men,Median,2016,"23.368,24"
Madrid,Men,Median,2015,"23.478,83"
Madrid,Men,Median,2014,"24.238,32"
Madrid,Men,Median,2013,"24.000,06"
Madrid,Men,Median,2012,"24.178,37"
Madrid,Men,Median,2011,"23.755,20"
Madrid,Men,Median,2010,"23.662,92"
Madrid,Men,Median,2009,"23.526,93"
Madrid,Men,Median,2008,"22.633,84"
Murcia,Both genders,Average,2021,"23.281,39"
Murcia,Both genders,Average,2020,"22.919,62"
Murcia,Both genders,Average,2019,"22.123,99"
Murcia,Both genders,Average,2018,"21.510,59"
Murcia,Both genders,Average,2017,"21.309,22"
Murcia,Both genders,Average,2016,"21.242,50"
Murcia,Both genders,Average,2015,"20.928,98"
Murcia,Both genders,Average,2014,"20.717,07"
Murcia,Both genders,Average,2013,"20.449,83"
Murcia,Both genders,Average,2012,"20.682,01"
Murcia,Both genders,Average,2011,"21.077,49"
Murcia,Both genders,Average,2010,"20.863,37"
Murcia,Both genders,Average,2009,"20.430,40"
Murcia,Both genders,Average,2008,"18.911,75"
Murcia,Both genders,Median,2021,"19.550,44"
Murcia,Both genders,Median,2020,"19.377,52"
Murcia,Both genders,Median,2019,"18.519,90"
Murcia,Both genders,Median,2018,"18.641,49"
Murcia,Both genders,Median,2017,"18.004,27"
Murcia,Both genders,Median,2016,"17.551,80"
Murcia,Both genders,Median,2015,"17.669,43"
Murcia,Both genders,Median,2014,"17.459,44"
Murcia,Both genders,Median,2013,"17.401,72"
Murcia,Both genders,Median,2012,"17.650,50"
Murcia,Both genders,Median,2011,"17.783,88"
Murcia,Both genders,Median,2010,"17.436,29"
Murcia,Both genders,Median,2009,"17.243,78"
Murcia,Both genders,Median,2008,"16.321,96"
Murcia, Women,Average,2021,"20.189,83"
Murcia, Women,Average,2020,"20.007,14"
Murcia, Women,Average,2019,"19.431,25"
Murcia, Women,Average,2018,"18.598,64"
Murcia, Women,Average,2017,"18.048,37"
Murcia, Women,Average,2016,"18.033,05"
Murcia, Women,Average,2015,"17.540,27"
Murcia, Women,Average,2014,"17.500,99"
Murcia, Women,Average,2013,"16.957,29"
Murcia, Women,Average,2012,"17.457,52"
Murcia, Women,Average,2011,"18.053,61"
Murcia, Women,Average,2010,"17.838,28"
Murcia, Women,Average,2009,"17.384,95"
Murcia, Women,Average,2008,"16.020,20"
Murcia, Women,Median,2021,"16.257,09"
Murcia, Women,Median,2020,"16.093,74"
Murcia, Women,Median,2019,"15.598,40"
Murcia, Women,Median,2018,"15.498,24"
Murcia, Women,Median,2017,"14.803,44"
Murcia, Women,Median,2016,"14.437,37"
Murcia, Women,Median,2015,"14.294,84"
Murcia, Women,Median,2014,"14.269,14"
Murcia, Women,Median,2013,"14.055,89"
Murcia, Women,Median,2012,"14.781,92"
Murcia, Women,Median,2011,"15.296,02"
Murcia, Women,Median,2010,"14.562,50"
Murcia, Women,Median,2009,"14.140,00"
Murcia, Women,Median,2008,"13.626,31"
Murcia,Men,Average,2021,"25.674,66"
Murcia,Men,Average,2020,"25.227,26"
Murcia,Men,Average,2019,"24.289,41"
Murcia,Men,Average,2018,"23.670,24"
Murcia,Men,Average,2017,"24.009,22"
Murcia,Men,Average,2016,"23.947,99"
Murcia,Men,Average,2015,"23.773,09"
Murcia,Men,Average,2014,"23.419,03"
Murcia,Men,Average,2013,"23.428,23"
Murcia,Men,Average,2012,"23.487,03"
Murcia,Men,Average,2011,"23.460,47"
Murcia,Men,Average,2010,"23.482,48"
Murcia,Men,Average,2009,"22.628,62"
Murcia,Men,Average,2008,"21.174,93"
Murcia,Men,Median,2021,"21.244,88"
Murcia,Men,Median,2020,"21.142,41"
Murcia,Men,Median,2019,"20.183,28"
Murcia,Men,Median,2018,"20.046,05"
Murcia,Men,Median,2017,"20.015,75"
Murcia,Men,Median,2016,"19.568,38"
Murcia,Men,Median,2015,"19.485,36"
Murcia,Men,Median,2014,"19.407,09"
Murcia,Men,Median,2013,"19.430,90"
Murcia,Men,Median,2012,"19.258,53"
Murcia,Men,Median,2011,"19.155,10"
Murcia,Men,Median,2010,"19.343,50"
Murcia,Men,Median,2009,"18.578,36"
Murcia,Men,Median,2008,"17.602,94"
Navarra,Both genders,Average,2021,"28.459,37"
Navarra,Both genders,Average,2020,"27.995,96"
Navarra,Both genders,Average,2019,"27.493,93"
Navarra,Both genders,Average,2018,"26.364,75"
Navarra,Both genders,Average,2017,"26.329,79"
Navarra,Both genders,Average,2016,"25.468,38"
Navarra,Both genders,Average,2015,"24.863,98"
Navarra,Both genders,Average,2014,"24.700,78"
Navarra,Both genders,Average,2013,"23.836,93"
Navarra,Both genders,Average,2012,"23.784,38"
Navarra,Both genders,Average,2011,"24.384,92"
Navarra,Both genders,Average,2010,"23.824,88"
Navarra,Both genders,Average,2009,"23.657,71"
Navarra,Both genders,Average,2008,"23.342,74"
Navarra,Both genders,Median,2021,"25.606,09"
Navarra,Both genders,Median,2020,"25.211,89"
Navarra,Both genders,Median,2019,"24.978,02"
Navarra,Both genders,Median,2018,"23.602,88"
Navarra,Both genders,Median,2017,"23.450,74"
Navarra,Both genders,Median,2016,"22.578,20"
Navarra,Both genders,Median,2015,"22.423,62"
Navarra,Both genders,Median,2014,"22.258,27"
Navarra,Both genders,Median,2013,"21.360,90"
Navarra,Both genders,Median,2012,"21.476,76"
Navarra,Both genders,Median,2011,"22.511,40"
Navarra,Both genders,Median,2010,"21.633,28"
Navarra,Both genders,Median,2009,"21.482,41"
Navarra,Both genders,Median,2008,"21.369,54"
Navarra, Women,Average,2021,"24.809,14"
Navarra, Women,Average,2020,"24.047,13"
Navarra, Women,Average,2019,"23.728,82"
Navarra, Women,Average,2018,"22.697,59"
Navarra, Women,Average,2017,"21.898,57"
Navarra, Women,Average,2016,"20.946,00"
Navarra, Women,Average,2015,"20.563,08"
Navarra, Women,Average,2014,"20.163,10"
Navarra, Women,Average,2013,"19.364,43"
Navarra, Women,Average,2012,"19.462,13"
Navarra, Women,Average,2011,"19.977,24"
Navarra, Women,Average,2010,"19.927,15"
Navarra, Women,Average,2009,"19.487,55"
Navarra, Women,Average,2008,"19.212,76"
Navarra, Women,Median,2021,"22.431,68"
Navarra, Women,Median,2020,"21.861,92"
Navarra, Women,Median,2019,"21.967,08"
Navarra, Women,Median,2018,"20.530,96"
Navarra, Women,Median,2017,"19.740,36"
Navarra, Women,Median,2016,"19.009,17"
Navarra, Women,Median,2015,"18.597,38"
Navarra, Women,Median,2014,"18.047,26"
Navarra, Women,Median,2013,"17.667,60"
Navarra, Women,Median,2012,"17.807,06"
Navarra, Women,Median,2011,"18.480,46"
Navarra, Women,Median,2010,"18.188,13"
Navarra, Women,Median,2009,"17.933,01"
Navarra, Women,Median,2008,"17.073,42"
Navarra,Men,Average,2021,"31.643,22"
Navarra,Men,Average,2020,"31.317,91"
Navarra,Men,Average,2019,"30.564,90"
Navarra,Men,Average,2018,"29.546,12"
Navarra,Men,Average,2017,"29.699,10"
Navarra,Men,Average,2016,"29.098,99"
Navarra,Men,Average,2015,"28.727,37"
Navarra,Men,Average,2014,"28.659,74"
Navarra,Men,Average,2013,"27.848,15"
Navarra,Men,Average,2012,"27.632,80"
Navarra,Men,Average,2011,"27.834,48"
Navarra,Men,Average,2010,"26.982,49"
Navarra,Men,Average,2009,"26.755,77"
Navarra,Men,Average,2008,"26.635,75"
Navarra,Men,Median,2021,"28.151,09"
Navarra,Men,Median,2020,"27.762,48"
Navarra,Men,Median,2019,"27.288,27"
Navarra,Men,Median,2018,"26.845,99"
Navarra,Men,Median,2017,"26.794,06"
Navarra,Men,Median,2016,"26.322,04"
Navarra,Men,Median,2015,"26.137,94"
Navarra,Men,Median,2014,"25.900,32"
Navarra,Men,Median,2013,"25.734,01"
Navarra,Men,Median,2012,"25.401,59"
Navarra,Men,Median,2011,"25.869,34"
Navarra,Men,Median,2010,"24.699,19"
Navarra,Men,Median,2009,"24.499,72"
Navarra,Men,Median,2008,"24.983,72"
Basque Country,Both genders,Average,2021,"31.063,68"
Basque Country,Both genders,Average,2020,"30.224,16"
Basque Country,Both genders,Average,2019,"29.476,21"
Basque Country,Both genders,Average,2018,"28.470,94"
Basque Country,Both genders,Average,2017,"28.204,49"
Basque Country,Both genders,Average,2016,"27.480,71"
Basque Country,Both genders,Average,2015,"27.571,31"
Basque Country,Both genders,Average,2014,"27.786,57"
Basque Country,Both genders,Average,2013,"26.915,07"
Basque Country,Both genders,Average,2012,"26.535,61"
Basque Country,Both genders,Average,2011,"26.370,36"
Basque Country,Both genders,Average,2010,"26.593,70"
Basque Country,Both genders,Average,2009,"26.162,45"
Basque Country,Both genders,Average,2008,"25.547,13"
Basque Country,Both genders,Median,2021,"27.884,00"
Basque Country,Both genders,Median,2020,"26.788,95"
Basque Country,Both genders,Median,2019,"26.104,00"
Basque Country,Both genders,Median,2018,"25.427,64"
Basque Country,Both genders,Median,2017,"25.584,00"
Basque Country,Both genders,Median,2016,"24.939,00"
Basque Country,Both genders,Median,2015,"25.171,70"
Basque Country,Both genders,Median,2014,"25.600,93"
Basque Country,Both genders,Median,2013,"23.728,74"
Basque Country,Both genders,Median,2012,"23.974,14"
Basque Country,Both genders,Median,2011,"24.197,46"
Basque Country,Both genders,Median,2010,"23.799,14"
Basque Country,Both genders,Median,2009,"23.855,99"
Basque Country,Both genders,Median,2008,"23.143,68"
Basque Country, Women,Average,2021,"28.084,16"
Basque Country, Women,Average,2020,"27.125,90"
Basque Country, Women,Average,2019,"26.197,62"
Basque Country, Women,Average,2018,"24.757,18"
Basque Country, Women,Average,2017,"24.165,97"
Basque Country, Women,Average,2016,"23.428,18"
Basque Country, Women,Average,2015,"23.537,06"
Basque Country, Women,Average,2014,"23.781,55"
Basque Country, Women,Average,2013,"22.687,39"
Basque Country, Women,Average,2012,"22.313,41"
Basque Country, Women,Average,2011,"22.449,59"
Basque Country, Women,Average,2010,"22.706,10"
Basque Country, Women,Average,2009,"22.502,47"
Basque Country, Women,Average,2008,"21.766,07"
Basque Country, Women,Median,2021,"24.316,65"
Basque Country, Women,Median,2020,"23.566,00"
Basque Country, Women,Median,2019,"22.498,00"
Basque Country, Women,Median,2018,"20.933,65"
Basque Country, Women,Median,2017,"21.242,12"
Basque Country, Women,Median,2016,"20.464,68"
Basque Country, Women,Median,2015,"20.504,00"
Basque Country, Women,Median,2014,"21.358,92"
Basque Country, Women,Median,2013,"19.576,90"
Basque Country, Women,Median,2012,"19.640,00"
Basque Country, Women,Median,2011,"19.707,94"
Basque Country, Women,Median,2010,"19.447,42"
Basque Country, Women,Median,2009,"19.422,02"
Basque Country, Women,Median,2008,"18.774,61"
Basque Country,Men,Average,2021,"33.706,34"
Basque Country,Men,Average,2020,"33.040,10"
Basque Country,Men,Average,2019,"32.529,17"
Basque Country,Men,Average,2018,"31.970,30"
Basque Country,Men,Average,2017,"31.618,97"
Basque Country,Men,Average,2016,"31.001,21"
Basque Country,Men,Average,2015,"31.088,99"
Basque Country,Men,Average,2014,"31.271,00"
Basque Country,Men,Average,2013,"30.312,55"
Basque Country,Men,Average,2012,"30.084,89"
Basque Country,Men,Average,2011,"29.492,66"
Basque Country,Men,Average,2010,"29.708,66"
Basque Country,Men,Average,2009,"28.889,92"
Basque Country,Men,Average,2008,"28.264,00"
Basque Country,Men,Median,2021,"30.698,57"
Basque Country,Men,Median,2020,"29.858,00"
Basque Country,Men,Median,2019,"29.339,67"
Basque Country,Men,Median,2018,"28.922,30"
Basque Country,Men,Median,2017,"29.027,07"
Basque Country,Men,Median,2016,"28.419,15"
Basque Country,Men,Median,2015,"28.529,00"
Basque Country,Men,Median,2014,"28.799,94"
Basque Country,Men,Median,2013,"27.412,35"
Basque Country,Men,Median,2012,"27.896,60"
Basque Country,Men,Median,2011,"27.488,70"
Basque Country,Men,Median,2010,"27.126,19"
Basque Country,Men,Median,2009,"26.269,99"
Basque Country,Men,Median,2008,"25.863,81"
Rioja,Both genders,Average,2021,"23.716,88"
Rioja,Both genders,Average,2020,"23.292,63"
Rioja,Both genders,Average,2019,"22.877,13"
Rioja,Both genders,Average,2018,"22.641,17"
Rioja,Both genders,Average,2017,"22.234,21"
Rioja,Both genders,Average,2016,"21.999,02"
Rioja,Both genders,Average,2015,"21.756,79"
Rioja,Both genders,Average,2014,"21.954,10"
Rioja,Both genders,Average,2013,"20.628,81"
Rioja,Both genders,Average,2012,"20.346,24"
Rioja,Both genders,Average,2011,"20.996,76"
Rioja,Both genders,Average,2010,"21.035,86"
Rioja,Both genders,Average,2009,"21.179,93"
Rioja,Both genders,Average,2008,"20.674,16"
Rioja,Both genders,Median,2021,"20.930,21"
Rioja,Both genders,Median,2020,"20.432,36"
Rioja,Both genders,Median,2019,"19.944,00"
Rioja,Both genders,Median,2018,"19.995,84"
Rioja,Both genders,Median,2017,"19.539,48"
Rioja,Both genders,Median,2016,"19.507,74"
Rioja,Both genders,Median,2015,"19.136,19"
Rioja,Both genders,Median,2014,"19.049,29"
Rioja,Both genders,Median,2013,"17.764,74"
Rioja,Both genders,Median,2012,"17.897,06"
Rioja,Both genders,Median,2011,"18.615,48"
Rioja,Both genders,Median,2010,"18.632,33"
Rioja,Both genders,Median,2009,"18.562,90"
Rioja,Both genders,Median,2008,"17.826,90"
Rioja, Women,Average,2021,"21.135,77"
Rioja, Women,Average,2020,"20.959,44"
Rioja, Women,Average,2019,"20.377,23"
Rioja, Women,Average,2018,"19.770,93"
Rioja, Women,Average,2017,"19.353,55"
Rioja, Women,Average,2016,"19.047,20"
Rioja, Women,Average,2015,"18.762,15"
Rioja, Women,Average,2014,"18.959,85"
Rioja, Women,Average,2013,"17.435,56"
Rioja, Women,Average,2012,"17.486,66"
Rioja, Women,Average,2011,"18.328,41"
Rioja, Women,Average,2010,"18.131,05"
Rioja, Women,Average,2009,"18.702,22"
Rioja, Women,Average,2008,"18.364,20"
Rioja, Women,Median,2021,"17.955,65"
Rioja, Women,Median,2020,"17.061,71"
Rioja, Women,Median,2019,"16.888,67"
Rioja, Women,Median,2018,"16.793,40"
Rioja, Women,Median,2017,"16.395,19"
Rioja, Women,Median,2016,"16.648,52"
Rioja, Women,Median,2015,"16.342,70"
Rioja, Women,Median,2014,"16.134,60"
Rioja, Women,Median,2013,"15.319,33"
Rioja, Women,Median,2012,"15.069,41"
Rioja, Women,Median,2011,"15.288,72"
Rioja, Women,Median,2010,"15.653,58"
Rioja, Women,Median,2009,"16.011,14"
Rioja, Women,Median,2008,"15.450,58"
Rioja,Men,Average,2021,"26.488,06"
Rioja,Men,Average,2020,"25.664,88"
Rioja,Men,Average,2019,"25.342,99"
Rioja,Men,Average,2018,"25.593,27"
Rioja,Men,Average,2017,"24.820,49"
Rioja,Men,Average,2016,"24.653,37"
Rioja,Men,Average,2015,"24.532,64"
Rioja,Men,Average,2014,"24.814,25"
Rioja,Men,Average,2013,"23.641,12"
Rioja,Men,Average,2012,"23.097,08"
Rioja,Men,Average,2011,"23.512,09"
Rioja,Men,Average,2010,"23.641,44"
Rioja,Men,Average,2009,"23.240,00"
Rioja,Men,Average,2008,"22.549,68"
Rioja,Men,Median,2021,"23.104,98"
Rioja,Men,Median,2020,"22.207,08"
Rioja,Men,Median,2019,"22.000,00"
Rioja,Men,Median,2018,"22.332,89"
Rioja,Men,Median,2017,"21.534,49"
Rioja,Men,Median,2016,"21.335,07"
Rioja,Men,Median,2015,"21.344,00"
Rioja,Men,Median,2014,"21.230,26"
Rioja,Men,Median,2013,"19.887,99"
Rioja,Men,Median,2012,"20.229,41"
Rioja,Men,Median,2011,"20.595,07"
Rioja,Men,Median,2010,"20.413,18"
Rioja,Men,Median,2009,"20.019,66"
Rioja,Men,Median,2008,"19.392,13"
